id,name,description,price,categoria
1,Vestido casual,Vestido de verano con estampado floral,42.62,Ropa
2,Microondas Samsung,Microondas de 20L con grill,126.42,Electrodoméstico
3,Casaca de cuero,Casaca negra de cuero sintético,82.03,Ropa
4,Rompecabezas 1000 piezas,Rompecabezas paisaje nevado,20.4,Juguete
5,Zapatillas deportivas,Zapatillas ligeras para correr,57.53,Ropa
6,Camiseta básica,Camiseta de algodón disponible en varios colores,19.13,Ropa
7,Zapatillas deportivas,Zapatillas ligeras para correr,68.23,Ropa
8,"Televisor Sony 50""",Smart TV 4K UHD con HDR,854.96,Electrodoméstico
9,"Televisor Sony 50""",Smart TV 4K UHD con HDR,947.88,Electrodoméstico
10,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,66.58,Electrodoméstico
11,Muñeca Barbie,Muñeca Barbie edición especial,28.26,Juguete
12,Camiseta básica,Camiseta de algodón disponible en varios colores,17.84,Ropa
13,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,61.0,Electrodoméstico
14,Microondas Samsung,Microondas de 20L con grill,136.85,Electrodoméstico
15,Vestido casual,Vestido de verano con estampado floral,46.07,Ropa
16,Refrigeradora LG,Refrigeradora 250L con freezer superior,632.15,Electrodoméstico
17,Casaca de cuero,Casaca negra de cuero sintético,95.04,Ropa
18,Lego Classic,Caja de bloques creativos Lego,31.32,Juguete
19,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,69.28,Electrodoméstico
20,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,67.33,Electrodoméstico
21,Vestido casual,Vestido de verano con estampado floral,46.13,Ropa
22,Microondas Samsung,Microondas de 20L con grill,115.26,Electrodoméstico
23,Microondas Samsung,Microondas de 20L con grill,134.81,Electrodoméstico
24,Osito de peluche,Peluche suave de 40 cm,15.4,Juguete
25,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,40.73,Juguete
26,Refrigeradora LG,Refrigeradora 250L con freezer superior,630.15,Electrodoméstico
27,Casaca de cuero,Casaca negra de cuero sintético,90.34,Ropa
28,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,37.07,Juguete
29,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,37.05,Juguete
30,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,35.96,Juguete
31,Plancha Philips,Plancha a vapor con suela antiadherente,33.86,Electrodoméstico
32,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,73.49,Electrodoméstico
33,Zapatillas deportivas,Zapatillas ligeras para correr,63.82,Ropa
34,Lego Classic,Caja de bloques creativos Lego,31.38,Juguete
35,Jeans slim fit,Pantalón de mezclilla azul oscuro,38.16,Ropa
36,Licuadora Oster,Licuadora de vidrio 1.5L con 3 velocidades,76.03,Electrodoméstico
37,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,32.99,Juguete
38,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,36.85,Juguete
39,Jeans slim fit,Pantalón de mezclilla azul oscuro,40.39,Ropa
40,Refrigeradora LG,Refrigeradora 250L con freezer superior,571.66,Electrodoméstico
41,Camiseta básica,Camiseta de algodón disponible en varios colores,15.94,Ropa
42,Refrigeradora LG,Refrigeradora 250L con freezer superior,572.23,Electrodoméstico
43,Osito de peluche,Peluche suave de 40 cm,15.46,Juguete
44,"Televisor Sony 50""",Smart TV 4K UHD con HDR,810.0,Electrodoméstico
45,Casaca de cuero,Casaca negra de cuero sintético,90.32,Ropa
46,Jeans slim fit,Pantalón de mezclilla azul oscuro,47.55,Ropa
47,Jeans slim fit,Pantalón de mezclilla azul oscuro,47.55,Ropa
48,Zapatillas deportivas,Zapatillas ligeras para correr,65.09,Ropa
49,Osito de peluche,Peluche suave de 40 cm,12.09,Juguete
50,Jeans slim fit,Pantalón de mezclilla azul oscuro,41.31,Ropa
51,Vestido casual,Vestido de verano con estampado floral,42.46,Ropa
52,Casaca de cuero,Casaca negra de cuero sintético,95.94,Ropa
53,Refrigeradora LG,Refrigeradora 250L con freezer superior,504.54,Electrodoméstico
54,Zapatillas deportivas,Zapatillas ligeras para correr,64.15,Ropa
55,Camiseta básica,Camiseta de algodón disponible en varios colores,18.01,Ropa
56,Casaca de cuero,Casaca negra de cuero sintético,103.02,Ropa
57,Osito de peluche,Peluche suave de 40 cm,13.94,Juguete
58,"Televisor Sony 50""",Smart TV 4K UHD con HDR,943.14,Electrodoméstico
59,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,42.46,Juguete
60,"Televisor Sony 50""",Smart TV 4K UHD con HDR,859.45,Electrodoméstico
61,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,40.95,Juguete
62,Zapatillas deportivas,Zapatillas ligeras para correr,59.9,Ropa
63,Casaca de cuero,Casaca negra de cuero sintético,92.1,Ropa
64,Carro a control remoto,Carro eléctrico con control remoto inalámbrico,41.81,Juguete
65,Plancha Philips,Plancha a vapor con suela antiadherente,41.14,Electrodoméstico
66,Camiseta básica,Camiseta de algodón disponible en varios colores,16.29,Ropa
67,Osito de peluche,Peluche suave de 40 cm,12.25,Juguete
68,Osito de peluche,Peluche suave de 40 cm,13.39,Juguete
69,"Televisor Sony 50""",Smart TV 4K UHD con HDR,800.76,Electrodoméstico
70,Vestido casual,Vestido de verano con estampado floral,45.51,Ropa
